,ï»¿id,scrape_id,neighbourhood_group_cleansed,latitude,longitude,bathrooms,bedrooms,beds,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,host_id,host_listings_count,host_total_listings_count,accommodates,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
5517,52689038.0,20200000000000.0,0.0,37.78092,-122.44201,0.0,1.0,1.8,2.0,4.0,1125.0,1125.0,4.0,1125.0,0.0,5.0,4.89,4.89,5.0,5.0,5.0,5.0,0.53,41512875.0,3.0,4.0,2.0,4.0,1125.0,1,1,1,1,9.0,8.0,0.0,3.0,1.0,2.0,0.0
5518,52689261.0,20200000000000.0,0.0,37.78541,-122.41053,0.0,1.0,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,0.0,4.75,5.0,5.0,5.0,5.0,4.5,4.8,0.26,266321575.0,8.0,10.0,2.0,1.0,27.0,0,0,0,0,4.0,3.0,0.0,8.0,0.0,0.7,0.0
5519,52702236.0,20200000000000.0,0.0,37.73371,-122.42384,0.0,2.0,3.0,2.0,3.0,1125.0,1125.0,2.4,1125.0,0.0,4.69,4.85,4.77,4.81,4.81,4.77,4.46,1.54,353152177.0,5.3,7.7,4.0,2.0,1125.0,16,35,64,312,26.0,17.0,1.0,1.0,1.0,0.0,0.0
5520,52739612.0,20200000000000.0,0.0,37.76503,-122.4545985,0.0,1.0,1.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,0.0,4.8,4.8,4.8,4.9,4.9,4.8,4.7,1.3,87507815.4,2.0,2.0,2.0,30.0,1125.0,3,26,56,295,0.0,0.0,0.0,2.0,2.0,0.0,0.0
5521,52739616.0,20200000000000.0,0.0,37.76468,-122.45567,0.0,1.0,1.0,30.0,30.0,365.0,365.0,30.0,365.0,0.0,4.67,4.5,4.9,5.0,5.0,4.83,4.5,0.41,87507815.4,2.0,2.0,2.0,30.0,365.0,0,2,4,174,6.0,5.0,0.0,2.0,2.0,0.0,0.0
5522,52758313.0,20200000000000.0,0.0,37.78919,-122.42919,0.0,1.0,1.0,30.0,30.0,365.0,365.0,30.0,365.0,0.0,4.8,4.8,4.8,4.9,4.9,4.8,4.7,1.3,87507815.4,1.0,2.0,1.0,30.0,365.0,30,60,90,364,0.0,0.0,0.0,1.0,0.0,1.0,0.0
5523,52758762.0,20200000000000.0,0.0,37.78418,-122.48176,0.0,1.0,1.8,30.0,30.0,180.0,180.0,30.0,180.0,0.0,4.5,5.0,4.9,5.0,4.9,5.0,4.75,0.29,157999191.0,24.0,24.0,1.0,30.0,180.0,30,60,90,179,4.0,3.0,0.0,3.5,1.0,0.7,0.0
5524,52758981.0,20200000000000.0,0.0,37.78284,-122.48018,0.0,1.0,1.8,30.0,30.0,180.0,180.0,30.0,180.0,0.0,5.0,4.5,4.9,5.0,5.0,4.5,4.5,0.34,157999191.0,24.0,24.0,1.0,30.0,180.0,30,60,90,179,2.0,2.0,0.0,3.5,1.0,0.7,0.0
5525,27790615.3,20200000000000.0,0.0,37.74925,-122.4,0.0,1.0,2.0,1.0,2.0,1125.0,1125.0,1.3,1125.0,0.0,4.83,4.76,4.48,4.86,4.86,4.79,4.76,2.6,87507815.4,3.0,3.0,3.0,1.0,1125.0,11,28,49,119,29.0,3.6,0.2,3.0,1.0,2.0,0.0
5526,27790615.3,20200000000000.0,0.0,37.755772,-122.400017,0.0,1.0,1.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,0.0,4.88,4.92,4.81,4.92,4.92,4.81,4.77,2.67,29476014.0,1.0,1.0,3.0,2.0,27.0,7,17,30,217,26.0,3.6,2.0,1.0,1.0,0.0,0.0
